,Date,Location,Team,OppTeam,TeamAbbr,GameId,Pts,Spread,Result,Total,PercentBet_OU,Open_Line_OU,Open_Odds_OU,Pinnacle_Line_OU,Pinnacle_Odds_OU,5dimes_Line_OU,5dimes_Odds_OU,Heritage_Line_OU,Heritage_Odds_OU,Bovada_Line_OU,Bovada_Odds_OU,Betonline_Line_OU,Betonline_Odds_OU,Average_Line_OU,Average_Odds_OU,Best_Line_OU,Worst_Line_OU,Best_Odds_OU,Worst_Odds_OU,year,O/U
0,2017-10-17,away,Boston,Cleveland,BOS,0021700001,99.0,-3.0,L,201.0,47.0,216.5,-110.0,216.5,-101.0,216.0,-105.0,216.0,-105.0,216.0,-110.0,216.0,-110.0,216.17,-106.83,216.5,216.0,-101.0,-110.0,2017,0.0
1,2017-10-17,home,Cleveland,Boston,CLE,0021700001,102.0,3.0,W,201.0,53.0,216.5,-110.0,216.5,-109.0,216.0,-105.0,216.0,-105.0,216.0,-110.0,216.0,-110.0,216.17,-108.17,216.5,216.0,-105.0,-110.0,2017,0.0
2,2017-10-17,away,Houston,Golden State,HOU,0021700002,122.0,1.0,W,243.0,43.1,235.0,-110.0,230.5,-110.0,231.0,-103.0,232.5,-105.0,231.0,-115.0,230.5,-115.0,231.75,-109.67,235.0,230.5,-103.0,-115.0,2017,1.0
3,2017-10-17,home,Golden State,Houston,GSW,0021700002,121.0,-1.0,L,243.0,56.9,235.0,-110.0,230.5,-100.0,231.0,-107.0,232.5,-105.0,231.0,-105.0,230.5,-105.0,231.75,-105.33,235.0,230.5,-100.0,-110.0,2017,1.0
4,2017-10-18,away,Charlotte,Detroit,CHA,0021700003,90.0,-12.0,L,192.0,42.9,203.0,-110.0,202.0,-105.0,202.0,-102.0,202.0,-105.0,202.0,-110.0,202.0,-115.0,202.17,-107.83,203.0,202.0,-102.0,-115.0,2017,0.0
5,2017-10-18,home,Detroit,Charlotte,DET,0021700003,102.0,12.0,W,192.0,57.1,203.0,-110.0,202.0,-105.0,202.0,-108.0,202.0,-105.0,202.0,-110.0,202.0,-105.0,202.17,-107.17,203.0,202.0,-105.0,-110.0,2017,0.0
6,2017-10-18,away,Brooklyn,Indiana,BKN,0021700004,131.0,-9.0,L,271.0,0.0,212.5,-110.0,216.5,-110.0,216.5,-108.0,216.5,-105.0,217.0,-110.0,217.0,-105.0,216.0,-108.0,217.0,212.5,-105.0,-110.0,2017,1.0
7,2017-10-18,home,Indiana,Brooklyn,IND,0021700004,140.0,9.0,W,271.0,100.0,212.5,-110.0,216.5,-100.0,216.5,-102.0,216.5,-105.0,217.0,-110.0,217.0,-115.0,216.0,-107.0,217.0,212.5,-100.0,-115.0,2017,1.0
8,2017-10-18,away,Miami,Orlando,MIA,0021700005,109.0,-7.0,L,225.0,0.0,207.0,-110.0,205.5,-103.0,205.5,-107.0,205.5,-105.0,205.0,-115.0,205.5,-110.0,205.67,-108.33,207.0,205.0,-103.0,-115.0,2017,1.0
9,2017-10-18,home,Orlando,Miami,ORL,0021700005,116.0,7.0,W,225.0,100.0,207.0,-110.0,205.5,-107.0,205.5,-103.0,205.5,-105.0,205.0,-105.0,205.5,-110.0,205.67,-106.67,207.0,205.0,-103.0,-110.0,2017,1.0
10,2017-10-18,away,Philadelphia,Washington,PHI,0021700006,115.0,-5.0,L,235.0,62.1,215.0,-110.0,218.0,-104.0,218.0,-103.0,218.0,-105.0,218.0,-110.0,217.5,-115.0,217.42,-107.83,218.0,215.0,-103.0,-115.0,2017,1.0
11,2017-10-18,home,Washington,Philadelphia,WAS,0021700006,120.0,5.0,W,235.0,37.9,215.0,-110.0,218.0,-106.0,218.0,-107.0,218.0,-105.0,218.0,-110.0,217.5,-105.0,217.42,-107.17,218.0,215.0,-105.0,-110.0,2017,1.0
12,2017-10-18,away,Milwaukee,Boston,MIL,0021700007,108.0,8.0,W,208.0,58.6,209.5,-110.0,203.5,-103.0,203.0,-108.0,203.0,-105.0,204.0,-105.0,204.0,-100.0,204.5,-105.17,209.5,203.0,-100.0,-110.0,2017,0.0
13,2017-10-18,home,Boston,Milwaukee,BOS,0021700007,100.0,-8.0,L,208.0,41.4,209.5,-110.0,203.5,-107.0,203.0,-102.0,203.0,-105.0,204.0,-115.0,204.0,-120.0,204.5,-109.83,209.5,203.0,-102.0,-120.0,2017,0.0
14,2017-10-18,away,New Orleans,Memphis,NOP,0021700008,91.0,-12.0,L,194.0,0.0,204.0,-110.0,204.5,-104.0,204.5,-105.0,205.0,-105.0,204.0,-115.0,204.5,-110.0,204.42,-108.17,205.0,204.0,-104.0,-115.0,2017,0.0
15,2017-10-18,home,Memphis,New Orleans,MEM,0021700008,103.0,12.0,W,194.0,100.0,204.0,-110.0,204.5,-106.0,204.5,-105.0,205.0,-105.0,204.0,-105.0,204.5,-110.0,204.42,-106.83,205.0,204.0,-105.0,-110.0,2017,0.0
16,2017-10-18,away,Atlanta,Dallas,ATL,0021700009,117.0,6.0,W,228.0,8.3,200.0,-110.0,198.5,-109.0,199.0,-102.0,199.0,-105.0,199.0,-110.0,199.0,-110.0,199.08,-107.67,200.0,198.5,-102.0,-110.0,2017,1.0
17,2017-10-18,home,Dallas,Atlanta,DAL,0021700009,111.0,-6.0,L,228.0,91.7,200.0,-110.0,198.5,-101.0,199.0,-108.0,199.0,-105.0,199.0,-110.0,199.0,-110.0,199.08,-107.33,200.0,198.5,-101.0,-110.0,2017,1.0
18,2017-10-18,away,Denver,Utah,DEN,0021700010,96.0,-10.0,L,202.0,0.0,204.5,-110.0,204.5,-110.0,205.0,-102.0,205.0,-105.0,204.0,-115.0,204.5,-115.0,204.58,-109.5,205.0,204.0,-102.0,-115.0,2017,0.0
19,2017-10-18,home,Utah,Denver,UTA,0021700010,106.0,10.0,W,202.0,100.0,204.5,-110.0,204.5,-100.0,205.0,-108.0,205.0,-105.0,204.0,-105.0,204.5,-105.0,204.58,-105.5,205.0,204.0,-100.0,-110.0,2017,0.0
20,2017-10-18,away,Minnesota,San Antonio,MIN,0021700011,99.0,-8.0,L,206.0,0.0,204.5,-110.0,203.5,-109.0,203.5,-105.0,204.0,-105.0,204.0,-110.0,203.5,-115.0,203.83,-109.0,204.5,203.5,-105.0,-115.0,2017,1.0
21,2017-10-18,home,San Antonio,Minnesota,SAS,0021700011,107.0,8.0,W,206.0,100.0,204.5,-110.0,203.5,-101.0,203.5,-105.0,204.0,-105.0,204.0,-110.0,203.5,-105.0,203.83,-106.0,204.5,203.5,-101.0,-110.0,2017,1.0
22,2017-10-18,away,Portland,Phoenix,POR,0021700012,124.0,48.0,W,200.0,49.5,219.5,-110.0,219.5,-122.0,219.5,-102.0,220.5,-105.0,219.0,-110.0,219.5,-125.0,219.58,-112.33,220.5,219.0,-102.0,-125.0,2017,0.0
23,2017-10-18,home,Phoenix,Portland,PHX,0021700012,76.0,-48.0,L,200.0,50.5,219.5,-110.0,219.5,-111.0,219.5,-108.0,220.5,-105.0,219.0,-110.0,219.5,-105.0,219.58,-108.17,220.5,219.0,-105.0,-111.0,2017,0.0
24,2017-10-18,away,Houston,Sacramento,HOU,0021700013,105.0,5.0,W,205.0,58.9,218.5,-110.0,216.5,-114.0,216.5,-108.0,217.0,-105.0,217.0,-110.0,216.5,-110.0,217.0,-109.5,218.5,216.5,-105.0,-114.0,2017,0.0
25,2017-10-18,home,Sacramento,Houston,SAC,0021700013,100.0,-5.0,L,205.0,41.1,218.5,-110.0,216.5,-103.0,216.5,-102.0,217.0,-105.0,217.0,-110.0,216.5,-110.0,217.0,-106.67,218.5,216.5,-102.0,-110.0,2017,0.0
26,2017-10-19,away,Chicago,Toronto,CHI,0021700014,100.0,-17.0,L,217.0,46.1,206.5,-110.0,206.5,-109.0,206.5,-105.0,207.0,-105.0,207.0,-110.0,206.5,-110.0,206.67,-108.17,207.0,206.5,-105.0,-110.0,2017,1.0
