gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamPTS9,teamPTS10,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptPTS9,opptPTS10,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2011-12-25,Regular,2011-12,0,1,BOS,Away,Loss,0.0,104.0,28.0,18.0,240.0,7.0,5.0,28.0,76.0,39.0,0.51,71.0,37.0,0.52,5.0,2.0,0.4,31.0,24.0,0.77,13.0,28.0,41.0,23.0,29.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,56.9,71.8,0.58,0.526,36.1,77.8,16.7,7.5,9.3,7.04,1.37,77.38,64.48,111.6,113.7,-2.1,0.48,25.84,93.2,1.56,93.2,0.39,1,0,NYK,Home,Win,0.0,106.0,17.0,16.0,240.0,9.0,11.0,25.0,74.0,35.0,0.47,54.0,26.0,0.48,20.0,9.0,0.45,34.0,27.0,0.79,8.0,23.0,31.0,34.0,28.0,17.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,48.6,0.596,0.534,22.2,63.9,15.2,9.7,15.5,20.37,1.43,71.5,59.58,113.7,111.6,2.1,0.43,18.47,1.06,0.56,93.2,93.2,NYK
2011-12-25,Regular,2011-12,1,0,MIA,Away,Win,0.0,105.0,18.0,22.0,240.0,9.0,6.0,28.0,78.0,38.0,0.49,71.0,34.0,0.48,7.0,4.0,0.57,36.0,25.0,0.69,15.0,36.0,51.0,32.0,30.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2,47.4,0.5589999999999999,0.513,39.5,81.8,19.0,9.1,11.1,8.45,1.35,72.0,60.0,105.7,94.7,11.0,0.45,17.62,99.3,0.82,99.3,0.41,0,1,DAL,Home,Loss,0.0,94.0,23.0,17.0,240.0,10.0,0.0,29.0,82.0,31.0,0.38,54.0,22.0,0.41,28.0,9.0,0.32,30.0,23.0,0.77,8.0,23.0,31.0,17.0,24.0,24.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,74.2,0.494,0.433,18.2,60.5,15.2,10.1,0.0,0.0,1.15,48.0,40.0,94.7,105.7,-11.0,0.34,21.14,1.35,0.59,99.3,99.3,MIA
2011-12-25,Regular,2011-12,1,0,CHI,Away,Win,0.0,88.0,21.0,14.0,240.0,14.0,4.0,21.0,89.0,36.0,0.4,74.0,29.0,0.39,15.0,7.0,0.47,14.0,9.0,0.64,16.0,25.0,41.0,22.0,34.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,58.3,0.462,0.444,34.8,67.6,12.8,15.9,6.7,5.41,0.99,65.25,54.38,100.0,98.9,1.1,0.41,17.82,88.0,1.5,88.0,1.0,0,1,LAL,Home,Loss,0.0,87.0,22.0,17.0,240.0,6.0,8.0,20.0,76.0,36.0,0.47,60.0,32.0,0.53,16.0,4.0,0.25,20.0,11.0,0.55,12.0,30.0,42.0,20.0,29.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,50.6,61.1,0.513,0.5,32.4,65.2,16.7,6.8,10.8,13.33,1.14,66.0,55.0,98.9,100.0,-1.1,0.44,20.72,1.29,0.35,88.0,88.0,CHI
2011-12-25,Regular,2011-12,0,1,ORL,Away,Loss,0.0,89.0,18.0,18.0,240.0,7.0,4.0,25.0,81.0,30.0,0.37,53.0,22.0,0.42,28.0,8.0,0.29,26.0,21.0,0.81,14.0,31.0,45.0,22.0,19.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,60.0,0.48100000000000004,0.42,28.0,81.6,16.3,7.6,7.5,7.55,1.1,54.25,45.21,96.2,104.8,-8.6,0.35,17.05,92.5,1.0,92.5,0.39,1,0,OKC,Home,Win,0.0,97.0,21.0,16.0,240.0,8.0,5.0,22.0,72.0,34.0,0.47,53.0,24.0,0.45,19.0,10.0,0.53,26.0,19.0,0.73,7.0,36.0,43.0,27.0,28.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9,61.8,0.581,0.542,18.4,72.0,16.1,8.6,9.4,9.43,1.35,74.25,61.88,104.8,96.2,8.6,0.42,21.53,1.31,0.5,92.5,92.5,OKC
2011-12-25,Regular,2011-12,1,0,LAC,Away,Win,0.0,105.0,22.0,10.0,240.0,9.0,8.0,19.0,81.0,37.0,0.46,58.0,29.0,0.5,23.0,8.0,0.35,38.0,23.0,0.61,13.0,30.0,43.0,24.0,17.0,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3,59.5,0.537,0.506,29.5,63.8,9.3,10.0,13.1,13.79,1.3,85.0,70.83,116.3,95.3,21.0,0.47,22.85,90.3,2.2,90.3,0.9,0,1,GSW,Home,Loss,0.0,86.0,17.0,16.0,240.0,4.0,8.0,32.0,82.0,32.0,0.39,61.0,27.0,0.44,21.0,5.0,0.24,24.0,17.0,0.71,17.0,31.0,48.0,20.0,23.0,25.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,53.1,0.465,0.42100000000000004,36.2,70.5,14.7,4.4,13.8,13.11,1.05,52.75,43.96,95.3,116.3,-21.0,0.4,16.28,1.06,0.25,90.3,90.3,LAC
2011-12-26,Regular,2011-12,1,0,TOR,Away,Win,0.0,104.0,35.0,12.0,240.0,4.0,9.0,22.0,79.0,42.0,0.53,58.0,33.0,0.57,21.0,9.0,0.43,13.0,11.0,0.85,11.0,34.0,45.0,23.0,29.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9,83.3,0.614,0.589,33.3,69.4,12.4,4.7,13.8,15.52,1.32,101.38,84.48,122.5,113.1,9.4,0.53,29.1,84.9,2.92,84.9,0.33,0,1,CLE,Home,Loss,0.0,96.0,21.0,7.0,240.0,7.0,1.0,16.0,85.0,35.0,0.41,65.0,29.0,0.45,20.0,6.0,0.3,28.0,20.0,0.71,15.0,22.0,37.0,23.0,19.0,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,45.1,60.0,0.493,0.447,30.6,66.7,6.7,8.2,1.7,1.54,1.13,67.25,56.04,113.1,122.5,-9.4,0.45,20.86,3.0,1.0,84.9,84.9,TOR
2011-12-26,Regular,2011-12,1,0,NJN,Away,Win,0.0,90.0,17.0,15.0,240.0,7.0,3.0,26.0,86.0,34.0,0.4,60.0,28.0,0.47,26.0,6.0,0.23,20.0,16.0,0.8,18.0,40.0,58.0,13.0,24.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,59.8,50.0,0.475,0.43,36.7,83.3,13.7,7.8,4.5,5.0,1.05,65.0,54.17,100.3,93.6,6.7,0.41,15.57,89.7,1.13,89.7,0.47,0,1,WAS,Home,Loss,0.0,84.0,13.0,11.0,240.0,8.0,7.0,17.0,74.0,31.0,0.42,67.0,30.0,0.45,7.0,1.0,0.14,34.0,21.0,0.62,8.0,31.0,39.0,26.0,19.0,22.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,41.9,0.47200000000000003,0.426,16.7,63.3,11.0,8.9,11.7,10.45,1.14,55.5,46.25,93.6,100.3,-6.7,0.4,15.66,1.18,0.73,89.7,89.7,NJN
2011-12-26,Regular,2011-12,0,1,HOU,Away,Loss,0.0,95.0,26.0,9.0,240.0,4.0,5.0,17.0,82.0,36.0,0.44,55.0,30.0,0.55,27.0,6.0,0.22,20.0,17.0,0.85,11.0,30.0,41.0,23.0,27.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9,72.2,0.523,0.47600000000000003,27.5,83.3,9.0,4.5,8.2,9.09,1.16,77.0,64.17,107.6,117.8,-10.2,0.45,24.03,88.3,2.89,88.3,0.44,1,1,ORL,Home,Win,0.0,104.0,19.0,11.0,240.0,1.0,4.0,15.0,83.0,44.0,0.53,61.0,35.0,0.57,22.0,9.0,0.41,10.0,7.0,0.7,6.0,29.0,35.0,27.0,26.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1,43.2,0.595,0.584,16.7,72.5,11.2,1.1,7.3,6.56,1.25,71.25,59.38,117.8,107.6,10.2,0.5,17.5,1.73,0.09,88.3,88.3,ORL
2011-12-26,Regular,2011-12,0,1,DET,Away,Loss,0.0,79.0,17.0,16.0,240.0,5.0,8.0,19.0,75.0,27.0,0.36,56.0,20.0,0.36,19.0,7.0,0.37,21.0,18.0,0.86,9.0,31.0,40.0,17.0,21.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,63.0,0.469,0.40700000000000003,20.5,63.3,16.0,5.7,11.1,14.29,1.05,51.62,43.02,90.7,104.4,-13.7,0.33,17.21,87.1,1.06,87.1,0.31,1,0,IND,Home,Win,0.0,91.0,20.0,10.0,240.0,9.0,9.0,20.0,87.0,32.0,0.37,72.0,25.0,0.35,15.0,7.0,0.47,25.0,20.0,0.8,18.0,35.0,53.0,26.0,26.0,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,62.5,0.46399999999999997,0.408,36.7,79.5,9.3,10.3,16.1,12.5,1.05,78.62,65.52,104.4,90.7,13.7,0.41,18.87,2.0,0.9,87.1,87.1,IND
2011-12-26,Regular,2011-12,0,1,MIL,Away,Loss,0.0,95.0,21.0,12.0,240.0,6.0,2.0,20.0,84.0,34.0,0.4,61.0,26.0,0.43,23.0,8.0,0.35,23.0,19.0,0.83,8.0,31.0,39.0,27.0,25.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,61.8,0.505,0.452,17.8,67.4,11.3,6.3,3.0,3.28,1.13,61.62,51.35,100.3,101.4,-1.1,0.39,19.65,94.7,1.75,94.7,0.5,1,0,CHA,Home,Win,0.0,96.0,27.0,16.0,240.0,3.0,6.0,20.0,86.0,38.0,0.44,67.0,34.0,0.51,19.0,4.0,0.21,21.0,16.0,0.76,15.0,37.0,52.0,19.0,22.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,71.1,0.504,0.465,32.6,82.2,14.4,3.2,9.8,8.96,1.12,76.38,63.65,101.4,100.3,1.1,0.44,22.55,1.69,0.19,94.7,94.7,CHA
