gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,teamPTS5,teamPTS6,teamPTS7,teamPTS8,teamPTS9,teamPTS10,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4,opptPTS5,opptPTS6,opptPTS7,opptPTS8,opptPTS9,opptPTS10,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2014-10-28,Regular,2014-15,0,1,ORL,Away,Loss,0.0,84.0,17.0,18.0,240.0,5.0,9.0,25.0,84.0,32.0,0.38,73.0,28.0,0.38,11.0,4.0,0.36,21.0,16.0,0.76,16.0,40.0,56.0,25.0,16.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,53.1,0.45,0.405,30.8,60.6,16.2,5.3,10.7,12.33,1.0,59.62,49.69,88.2,106.1,-17.9,0.37,15.49,95.2,0.94,95.2,0.28,1,0,NOP,Home,Win,0.0,101.0,20.0,9.0,240.0,10.0,17.0,17.0,101.0,41.0,0.41,84.0,37.0,0.44,17.0,4.0,0.24,31.0,15.0,0.48,26.0,36.0,62.0,24.0,24.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,48.8,0.441,0.426,39.4,69.2,7.3,10.5,23.3,20.24,1.0,96.12,80.1,106.1,88.2,17.9,0.49,17.19,2.22,1.11,95.2,95.2,NOP
2014-10-28,Regular,2014-15,0,1,DAL,Away,Loss,0.0,100.0,17.0,10.0,240.0,9.0,3.0,20.0,78.0,38.0,0.49,57.0,30.0,0.53,21.0,8.0,0.38,19.0,16.0,0.84,9.0,24.0,33.0,24.0,29.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,44.7,0.579,0.5379999999999999,23.7,72.7,10.4,10.5,7.1,5.26,1.28,70.38,58.65,116.1,117.3,-1.2,0.48,17.59,86.1,1.7,86.1,0.9,1,0,SAS,Home,Win,0.0,101.0,23.0,20.0,240.0,5.0,3.0,20.0,70.0,37.0,0.53,42.0,23.0,0.55,28.0,14.0,0.5,16.0,13.0,0.81,9.0,29.0,38.0,26.0,19.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,62.2,0.6559999999999999,0.629,27.3,76.3,20.6,5.8,5.3,7.14,1.44,74.25,61.88,117.3,116.1,1.2,0.46,21.71,1.15,0.25,86.1,86.1,SAS
2014-10-28,Regular,2014-15,1,0,HOU,Away,Win,0.0,108.0,22.0,13.0,240.0,7.0,3.0,30.0,73.0,31.0,0.42,44.0,19.0,0.43,29.0,12.0,0.41,50.0,34.0,0.68,14.0,33.0,47.0,31.0,31.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,56.6,71.0,0.568,0.507,35.9,75.0,12.0,7.7,4.3,6.82,1.48,77.25,64.38,118.8,99.0,19.8,0.43,25.58,90.9,1.69,90.9,0.54,0,1,LAL,Home,Loss,0.0,90.0,16.0,11.0,240.0,7.0,3.0,32.0,79.0,28.0,0.35,69.0,25.0,0.36,10.0,3.0,0.3,39.0,31.0,0.79,11.0,25.0,36.0,19.0,26.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,57.1,0.46799999999999997,0.373,25.0,64.1,10.3,7.7,6.8,4.35,1.14,44.88,37.4,99.0,118.8,-19.8,0.35,18.01,1.45,0.64,90.9,90.9,HOU
2014-10-29,Regular,2014-15,0,1,MIL,Away,Loss,0.0,106.0,25.0,14.0,265.0,9.0,10.0,25.0,80.0,39.0,0.49,66.0,32.0,0.48,14.0,7.0,0.5,24.0,21.0,0.88,3.0,32.0,35.0,24.0,33.0,26.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,41.2,64.1,0.585,0.531,7.9,68.1,13.4,8.9,12.5,15.15,1.32,81.5,61.51,104.8,106.8,-2.0,0.43,23.05,101.14166666666668,1.79,91.6,0.64,1,0,CHO,Home,Win,0.0,108.0,27.0,10.0,265.0,8.0,9.0,20.0,101.0,41.0,0.41,80.0,35.0,0.44,21.0,6.0,0.29,29.0,20.0,0.69,15.0,35.0,50.0,25.0,21.0,22.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,58.8,65.9,0.475,0.436,31.9,92.1,8.1,7.9,13.6,11.25,1.07,86.62,65.38,106.8,104.8,2.0,0.43,21.56,2.7,0.8,101.14166666666668,91.6,CHO
2014-10-29,Regular,2014-15,0,1,PHI,Away,Loss,0.0,91.0,17.0,11.0,240.0,10.0,5.0,29.0,89.0,34.0,0.38,68.0,28.0,0.41,21.0,6.0,0.29,30.0,17.0,0.57,15.0,27.0,42.0,24.0,27.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,50.0,0.445,0.41600000000000004,29.4,65.9,9.7,10.6,8.9,7.35,1.02,54.75,45.62,96.7,109.5,-12.8,0.4,16.38,94.1,1.55,94.1,0.91,1,0,IND,Home,Win,0.0,103.0,22.0,17.0,240.0,5.0,13.0,24.0,81.0,38.0,0.47,56.0,30.0,0.54,25.0,8.0,0.32,28.0,19.0,0.68,14.0,36.0,50.0,26.0,22.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3,57.9,0.552,0.519,34.1,70.6,15.4,5.3,19.1,23.21,1.27,83.75,69.79,109.5,96.7,12.8,0.45,20.43,1.29,0.29,94.1,94.1,IND
2014-10-29,Regular,2014-15,0,1,ATL,Away,Loss,0.0,102.0,26.0,17.0,240.0,6.0,8.0,24.0,80.0,40.0,0.5,58.0,27.0,0.47,22.0,13.0,0.59,17.0,9.0,0.53,10.0,32.0,42.0,22.0,30.0,19.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,46.7,65.0,0.583,0.581,23.8,66.7,16.3,6.4,12.5,13.79,1.27,80.62,67.19,109.1,116.6,-7.5,0.46,22.51,93.5,1.53,93.5,0.35,1,0,TOR,Home,Win,0.0,109.0,26.0,9.0,240.0,13.0,9.0,22.0,90.0,37.0,0.41,64.0,29.0,0.45,26.0,8.0,0.31,33.0,27.0,0.82,16.0,32.0,48.0,24.0,36.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,70.3,0.521,0.456,33.3,76.2,7.9,13.9,15.5,14.06,1.21,97.12,80.94,116.6,109.1,7.5,0.45,23.53,2.89,1.44,93.5,93.5,TOR
2014-10-29,Regular,2014-15,0,1,WAS,Away,Loss,0.0,95.0,20.0,14.0,240.0,7.0,2.0,20.0,75.0,36.0,0.48,56.0,30.0,0.54,19.0,6.0,0.32,24.0,17.0,0.71,7.0,29.0,36.0,28.0,24.0,18.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,55.6,0.555,0.52,17.9,70.7,14.1,7.7,3.8,3.57,1.27,63.5,52.92,104.3,117.5,-13.2,0.44,20.32,91.1,1.43,91.1,0.5,1,0,MIA,Home,Win,0.0,107.0,20.0,14.0,240.0,9.0,3.0,17.0,81.0,39.0,0.48,53.0,30.0,0.57,28.0,9.0,0.32,23.0,20.0,0.87,12.0,32.0,44.0,22.0,31.0,19.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,51.3,0.5870000000000001,0.537,29.3,82.1,13.3,9.9,5.4,5.66,1.32,83.12,69.27,117.5,104.3,13.2,0.47,19.07,1.43,0.64,91.1,91.1,MIA
2014-10-29,Regular,2014-15,0,1,BRK,Away,Loss,0.0,105.0,20.0,20.0,240.0,6.0,7.0,21.0,80.0,39.0,0.49,61.0,32.0,0.52,19.0,7.0,0.37,26.0,20.0,0.77,9.0,30.0,39.0,23.0,18.0,31.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,51.3,0.574,0.531,25.7,76.9,17.9,6.0,10.6,11.48,1.31,69.25,57.71,105.7,121.8,-16.1,0.43,18.42,99.3,1.0,99.3,0.3,1,0,BOS,Home,Win,0.0,121.0,28.0,12.0,240.0,11.0,5.0,25.0,88.0,49.0,0.56,66.0,41.0,0.62,22.0,8.0,0.36,23.0,15.0,0.65,9.0,26.0,35.0,32.0,35.0,34.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,47.3,57.1,0.617,0.602,23.1,74.3,10.9,11.1,8.2,7.58,1.38,94.38,78.65,121.8,105.7,16.1,0.54,23.75,2.33,0.92,99.3,99.3,BOS
2014-10-29,Regular,2014-15,1,0,CHI,Away,Win,0.0,104.0,21.0,15.0,240.0,9.0,4.0,18.0,71.0,36.0,0.51,47.0,29.0,0.62,24.0,7.0,0.29,30.0,25.0,0.83,10.0,37.0,47.0,24.0,29.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,58.3,0.618,0.556,29.4,72.5,15.1,10.3,5.9,8.51,1.46,87.25,72.71,119.6,92.0,27.6,0.47,22.39,87.0,1.4,87.0,0.6,0,1,NYK,Home,Loss,0.0,80.0,19.0,11.0,240.0,9.0,5.0,22.0,85.0,31.0,0.36,68.0,28.0,0.41,17.0,3.0,0.18,17.0,15.0,0.88,14.0,24.0,38.0,20.0,23.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,61.3,0.433,0.382,27.5,70.6,10.6,10.3,10.6,7.35,0.94,52.88,44.06,92.0,119.6,-27.6,0.38,17.67,1.73,0.82,87.0,87.0,CHI
2014-10-29,Regular,2014-15,0,1,MIN,Away,Loss,0.0,101.0,20.0,23.0,240.0,8.0,4.0,21.0,86.0,39.0,0.45,74.0,33.0,0.45,12.0,6.0,0.5,23.0,17.0,0.74,19.0,28.0,47.0,27.0,20.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,51.3,0.525,0.488,45.2,73.7,19.3,8.4,6.0,5.41,1.17,66.38,55.31,105.5,109.7,-4.2,0.43,16.82,95.7,0.87,95.7,0.35,1,0,MEM,Home,Win,0.0,105.0,21.0,17.0,240.0,10.0,5.0,21.0,82.0,43.0,0.52,67.0,39.0,0.58,15.0,4.0,0.27,20.0,15.0,0.75,10.0,23.0,33.0,25.0,28.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,48.8,0.578,0.5489999999999999,26.3,54.8,15.8,10.4,6.8,7.46,1.28,71.75,59.79,109.7,105.5,4.2,0.48,18.88,1.24,0.59,95.7,95.7,MEM
